NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NO_CURSO,Instituicao,Sigla,Municipio,UF
2017,2564,1,10028,4004,13446,1,2504009,25,2,24,M,2012.0,2013.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,ACBBCEAC,1111110.0,AAECBCDECCADAEBEECDDDBAAEDE,101111110001900199010100001,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,57.4,66.8,75.0,54.5,63.0,75.0,60.0,46.0,50.0,45.0,54.2,50.0,78.3,70.0,75.0,90.0,C,C,C,B,B,B,,D,C,A,D,A,D,C,B,C,C,B,A,A,A,B,A,D,23.0,A,B,B,C,B,A,C,A,E,F,5.0,5.0,4.0,4.0,3.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,4.0,2.0,5.0,5.0,6.0,8.0,8.0,3.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,1.0,6.0,2.0,4.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,24,M,2010.0,2011.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,DCCBCEDE,1011100.0,AABCBDBEABEBDECCEEDEEEABEDD,100110011010900099001001000,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,333.0,35.7,58.0,50.0,70.0,71.0,75.0,70.0,69.0,65.0,70.0,28.3,33.3,0.0,0.0,0.0,0.0,C,C,A,B,C,C,D,D,B,A,A,A,E,D,B,B,B,D,D,I,A,D,B,A,25.0,E,A,B,C,A,B,C,A,H,A,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,6.0,4.0,5.0,5.0,3.0,6.0,5.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,5.0,8.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,29,M,2006.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,BCCBEEEB,1010100.0,DEEABBCCABBCDDCCEECDEBDBAAD,001010001000900099011101010,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,333.0,555.0,555.0,29.5,22.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,33.3,23.3,0.0,70.0,0.0,C,D,B,B,B,D,B,D,B,A,D,A,B,B,B,E,B,E,C,A,A,F,A,D,25.0,A,A,A,B,B,A,E,E,E,C,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,31,M,2003.0,2012.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CABBDEED,10110101.0,DCAABABEACBDBCEBABBDBBEADBB,010010011001910099110110100,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,44.0,39.7,62.5,5.5,5.0,25.0,0.0,6.0,30.0,0.0,45.4,45.8,43.3,30.0,0.0,100.0,A,E,C,D,B,C,D,D,B,A,D,A,E,D,B,B,B,B,A,A,A,F,A,A,25.0,B,A,B,F,A,E,E,E,E,C,4.0,5.0,2.0,2.0,1.0,6.0,3.0,1.0,4.0,6.0,4.0,2.0,1.0,2.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,5.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,24,M,2010.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CCABCEAD,11011111.0,AAEACCAEADDDECCEECCDDBEBEAD,101001011101910199010111010,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,61.4,80.1,87.5,69.0,63.0,75.0,60.0,75.0,75.0,75.0,55.1,58.3,36.7,60.0,50.0,0.0,,,,,,,,,,A,F,A,E,E,F,A,D,C,C,A,A,F,A,A,23.0,B,A,A,K,A,C,C,E,H,I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,24,F,2011.0,2012.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,ECBBCEBD,1111101.0,CDACBDDEAEEEDCBECAEDEBEEDEE,000110111010910199011110101,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,59.9,75.2,75.0,75.5,75.0,75.0,75.0,76.0,80.0,75.0,54.8,58.3,35.0,70.0,35.0,0.0,C,D,C,B,B,C,D,C,C,A,A,A,E,D,B,G,E,B,A,A,A,F,B,A,25.0,B,A,B,G,A,E,C,A,A,F,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,23,F,2011.0,2012.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,ACABCEAD,1011111.0,CCEABBBEBDEDBCDDCCDDABBBEED,011010010111910099010101000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,336.0,555.0,55.0,77.8,75.0,82.0,71.0,75.0,70.0,93.0,65.0,100.0,47.4,45.8,56.7,70.0,0.0,100.0,C,B,C,C,C,C,D,D,D,A,D,A,C,D,B,D,B,C,A,A,A,B,B,A,25.0,B,A,B,G,A,C,D,B,E,A,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,8.0,8.0,3.0,4.0,6.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,23,M,2011.0,2015.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,BAADEEBE,100.0,DAEBBCDEACEEBCBEAADDABECBDB,001011111010910199010110000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,47.9,24.9,12.5,43.5,35.0,55.0,30.0,52.0,60.0,50.0,55.5,50.0,86.7,100.0,90.0,70.0,D,D,A,C,B,D,A,D,C,A,D,A,B,B,B,F,B,A,D,I,A,F,A,D,25.0,A,A,D,C,B,A,C,D,E,C,5.0,6.0,6.0,3.0,6.0,6.0,4.0,5.0,6.0,6.0,3.0,4.0,3.0,1.0,6.0,6.0,6.0,6.0,3.0,1.0,4.0,1.0,4.0,8.0,8.0,3.0,4.0,6.0,3.0,6.0,5.0,6.0,1.0,6.0,4.0,3.0,3.0,6.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,22,M,2012.0,2013.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,ECDEEECE,1000100.0,CAECDBCEDDBBECAEADDEABCCCEB,001100010100911199000100000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,36.3,41.2,25.0,65.5,65.0,65.0,65.0,66.0,50.0,70.0,34.6,33.3,41.7,30.0,65.0,30.0,C,C,C,D,C,C,D,C,C,A,A,A,C,E,A,A,C,A,A,A,A,D,A,A,25.0,B,A,B,A,A,C,C,E,A,F,4.0,4.0,3.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,2.0,5.0,4.0,4.0,6.0,8.0,2.0,2.0,6.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,1.0,1.0,3.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,25,M,2009.0,2013.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CCAEBEBD,11000101.0,DAECBCBEADECDCAEECCDDBEBECE,001111011110911199010111001,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,62.5,52.0,50.0,55.0,57.0,65.0,55.0,53.0,65.0,50.0,66.0,66.7,61.7,70.0,65.0,50.0,C,C,C,B,B,B,B,D,D,A,D,A,F,E,D,A,F,B,A,A,A,A,A,A,27.0,B,A,B,C,A,C,D,A,A,F,5.0,5.0,5.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,3.0,3.0,4.0,3.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,2.0,5.0,6.0,7.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,27,M,2007.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,BCBBEEBD,1110101.0,ECEAACEEBCEDBCECECBDEBEADBD,011001010011910099111110100,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,555.0,52.4,48.1,62.5,26.5,53.0,65.0,50.0,0.0,0.0,0.0,53.8,54.2,51.7,70.0,65.0,20.0,C,C,C,D,B,B,A,D,B,A,A,A,D,D,B,D,C,B,A,A,A,D,A,A,25.0,A,A,B,C,B,B,C,E,E,F,5.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,4.0,6.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,8.0,8.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,6.0,4.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,22,M,2012.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CCCCCCCC,11001000.0,CAAABCAEAEEBCCDEEBDDBBEBEAA,000011011010910199010111010,555.0,555.0,555.0,333.0,555.0,333.0,333.0,333.0,333.0,333.0,333.0,37.5,22.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,50.0,0.0,0.0,0.0,0.0,D,D,C,B,B,D,D,D,A,A,A,A,D,D,C,C,C,D,C,A,A,F,A,A,25.0,B,A,B,A,A,C,E,E,E,F,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,24,M,2011.0,2012.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CCADCECC,11001100.0,ECEABCAEADEBDBAEECCEABEBECE,011011011110901199000111001,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,61.3,53.0,50.0,57.5,48.0,40.0,50.0,67.0,55.0,70.0,64.1,58.3,96.7,90.0,100.0,100.0,E,C,C,C,C,C,D,C,C,A,A,A,E,E,D,A,E,C,A,A,D,F,B,A,25.0,A,B,A,E,A,A,D,C,A,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,22,M,2012.0,2013.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,EEBACECD,101101.0,AAECBBDEADCDBCBEECEDEBEBDDE,101110111101910199011111101,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,71.0,56.0,50.0,65.0,63.0,75.0,60.0,67.0,55.0,70.0,76.0,75.0,81.7,70.0,75.0,100.0,C,C,C,B,B,C,C,D,C,A,A,A,E,E,B,G,F,E,E,A,A,B,A,A,25.0,B,A,B,G,A,B,E,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,4004,13446,1,2504009,25,2,30,M,2004.0,2011.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,ABABBEDD,10101.0,DAEADCDECDCDDCDCEBBDBBDADED,001001110101910099110100100,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,49.6,53.9,37.5,78.5,84.0,60.0,90.0,73.0,65.0,75.0,48.2,45.8,61.7,30.0,65.0,90.0,D,C,A,C,B,C,B,D,C,A,D,A,B,D,A,A,B,C,C,A,A,D,B,A,24.0,A,A,A,C,B,B,E,E,A,F,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
